n2000code:text	name:text	authority:text	eunisurl:url
A266	Prunella modularis	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1235
A267	Prunella collaris	(Scopoli, 1769)	http://eunis.eea.europa.eu/species/1234
A268	Cercotrichas galactotes	(Temminck, 1820)	http://eunis.eea.europa.eu/species/954
A269	Erithacus rubecula	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1029
A270	Luscinia luscinia	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1127
A271	Luscinia megarhynchos	Brehm, 1831	http://eunis.eea.europa.eu/species/1128
A272	Luscinia svecica	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1129
A273	Phoenicurus ochruros	(Gmelin, 1774)	http://eunis.eea.europa.eu/species/1208
A274	Phoenicurus phoenicurus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1209
A275	Saxicola rubetra	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1263
A276	Saxicola torquata	(Linnaeus, 1766)	http://eunis.eea.europa.eu/species/1264
A277	Oenanthe oenanthe	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1169
A278	Oenanthe hispanica	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1165
A279	Oenanthe leucura	(Gmelin, 1789)	http://eunis.eea.europa.eu/species/1168
A280	Monticola saxatilis	(Linnaeus, 1766)	http://eunis.eea.europa.eu/species/1145
A281	Monticola solitarius	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1146
A282	Turdus torquatus	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1336
A283	Turdus merula	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1332
A284	Turdus pilaris	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1335
A285	Turdus philomelos	Brehm, 1831	http://eunis.eea.europa.eu/species/1334
A286	Turdus iliacus	Linnaeus, 1766	http://eunis.eea.europa.eu/species/1331
A287	Turdus viscivorus	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1337
A288	Cettia cetti	(Temminck, 1820)	http://eunis.eea.europa.eu/species/957
A289	Cisticola juncidis	(Rafinesque, 1810)	http://eunis.eea.europa.eu/species/977
